,G1-Ah,G1-Bw,G1-Cox,G11-Ah,G11-Bw,G11-Cox,G2-Ah,G2-Bw,G2-Cox,G3a-Ah,G3a-Bw,G3a-Cox,G9-Ah,G9-Bw,G9-Cox,Ah-1-1,Ah-1-2,Ah-2-1,Ah-2-2,II-P-1-1,II-P-1-2,II-P-2-1,II-P-2-2,Of-1-1,Of-1-2,Of-2-1,Of-2-2,arctic_tundra_TL1,boreal_forest_BZ1,hot_desert_MD3,hot_desert_SF2,hot_desert_SV1,polar_desert_EB017,polar_desert_EB019,polar_desert_EB020,polar_desert_EB021,polar_desert_EB024,polar_desert_EB026,temeprate_coniferous_forest_DF1,temeprate_deciduous_forest_CL1,temeprate_grassland_KP1,tropical_forest_AR3,tropical_forest_PE6,2012_10_Soy_No,2012_11_Corn_Yes,2012_12_Soy_Yes,2012_13_Corn_Yes,2012_14_Soy_Yes,2012_15_Corn_Yes,2012_16_soy_Yes,2012_17_Corn_Yes,2012_18_soy_Yes,2012_19_Corn_Yes,2012_1_corn_No,2012_20_Soy_Yes,2012_2_Soy_No,2012_3_corn_No,2012_4_Soy_No,2012_5_Corn_No,2012_6_Soy_No,2012_7_corn_No,2012_8_Soy_No,2012_9_Corn_No,2013_11_Soy_Yes,2013_12_Corn_Yes,2013_13_Corn_Yes,2013_14_Corn_Yes,2013_15_Soy_Yes,2013_16_Corn_Yes,2013_17_Soy_Yes,2013_18_Corn_Yes,2013_19_Soy_Yes,2013_1_Soy_No,2013_20_Corn_Yes,2013_23_forest,2013_24_forest,2013_2_Corn_No,2013_3_Soy_No,2013_5_Soy_No,2013_6_Corn_No,2013_7_Soy_No,2013_8_Corn_No,2013_9_Soy_No,ERR1104480.fastq.gzaligned,ERR1104481.fastq.gzaligned,ERR476938_1.fastq.gzaligned,ERR476939_1.fastq.gzaligned,ERR476940_1.fastq.gzaligned,ERR476941_1.fastq.gzaligned,ERR476942_1.fastq.gzaligned,ERR476943_1.fastq.gzaligned,ERR476944_1.fastq.gzaligned,ERR476945_1.fastq.gzaligned,ERR476946_1.fastq.gzaligned,ERR481108_1.fastq.gzaligned,ERR481109_1.fastq.gzaligned,ERR481110_1.fastq.gzaligned,ERR481111_1.fastq.gzaligned,ERR481112_1.fastq.gzaligned,ERR515173_1.fastq.gzaligned,ERR515174_1.fastq.gzaligned,ERR515176_1.fastq.gzaligned,ERR515177_1.fastq.gzaligned,ERR515178_1.fastq.gzaligned
Fatty Acids_ Lipids_ and Isoprenoids,28175,22703,15589,30843,41756,21777,21388,18073,13680,42631,38646,29091,48859,35126,31955,12137,10940,3544,3402,10239,9629,15511,15077,14743,14240,17878,17313,8709,9048,7840,7815,15266,8010,9250,11234,7918,13861,10564,5836,9808,7592,6067,11246,1309,1061,255,3106,1283,1249,1458,1132,4,6,882,1069,1857,542,985,832,2067,1131,1817,1150,891,77,1515,1514,1718,1499,1434,2476,1453,704,1330,1586,2009,944,97,1079,1259,489,1169,1072,63145,61077,9945,7735,3827,8958,10707,11044,1116,6955,3063,6552,4367,12405,2854,2973,3527,3092,3728,3590,3666
Carbohydrates,256720,210341,147149,284387,387256,203900,194000,163638,126482,387090,346616,258296,446136,312737,282254,113224,104041,34165,32680,99152,95151,152737,149236,127724,124361,158293,153633,88821,88777,89690,90411,162383,95525,93665,123038,79914,140207,88874,56330,94135,81838,64549,120116,14308,11883,2658,30535,13180,12975,15538,11346,51,65,9102,11000,20089,6010,10835,9446,22664,12652,20142,12735,9769,827,15454,16768,19320,15435,15657,26351,15680,7550,13847,16820,20587,10224,882,11812,13121,5593,12452,11939,514190,499481,95730,70015,36007,84645,94456,97812,11182,69251,29815,63896,43104,120897,28591,29983,35228,31129,38873,39321,40181
Amino Acids and Derivatives,279767,246584,173561,331182,456839,246630,219699,190826,155832,431779,423591,327734,507352,376840,352693,117541,109007,35718,34281,101770,97547,155253,151582,141139,137893,176382,171336,111030,114498,97842,101965,186310,121940,120594,159408,103086,181434,118504,70863,117600,93350,80347,152272,17752,14374,3459,39985,16858,16249,18744,14074,90,91,12186,13591,25582,7627,13656,11703,28228,16093,25826,15888,12068,1077,20227,21374,24294,19691,19215,32985,19582,9626,17472,21470,26326,13081,1139,14653,16459,7098,16090,15367,590355,573644,108006,85430,43364,98222,111224,121707,12969,79368,34668,72716,49815,139252,32127,34040,39383,35140,42579,43381,43571
Respiration,56457,48190,33142,63489,86783,46007,43721,37711,28477,90429,83228,61394,98756,69628,64998,28893,26416,8875,8482,26397,25287,40985,39910,29814,29035,36709,35550,23185,22048,16493,17174,29998,22802,22496,29265,20975,34589,15384,14276,23476,17099,15855,30460,3066,2439,592,6846,2846,2884,3235,2437,21,18,2125,2444,4431,1339,2430,2123,5213,2793,4411,2734,2038,172,3417,3533,4248,3396,3286,5676,3271,1727,3026,4085,5077,2222,198,2605,2926,1208,2815,2726,129133,125448,21914,17078,8756,19831,24056,29304,2615,17244,7461,17312,12706,34294,8002,8323,10944,9844,14013,14367,14437
Cofactors_ Vitamins_ Prosthetic Groups_ Pigments,153704,133189,91401,175814,240046,126570,120709,104164,81932,232098,226796,171972,275037,202669,189612,74633,62188,22194,28226,64483,67239,98496,94269,87907,89243,109312,101127,60043,62586,57856,70952,103200,72152,76549,82388,67776,94489,66673,44739,65787,51164,52053,67819,9810,8315,1882,22752,9546,9290,10811,7990,49,67,6731,7812,14605,4255,7679,6705,15596,8677,14305,8928,6790,596,11228,11746,13415,11090,10986,18691,11176,5341,9963,12137,14511,7670,591,8096,9306,3831,8754,8523,383381,371095,70558,54548,27977,65974,74482,76329,8653,52960,22658,46997,32105,91888,21052,21854,26334,23094,29710,30018,30788
Nitrogen Metabolism,15068,11719,7990,16508,23089,11709,11228,9067,6640,22967,20425,14102,25869,17638,16043,6450,5942,1930,1838,6136,5774,8885,8615,7285,7179,9047,8753,6416,4682,3830,4237,7059,3391,3849,4717,3027,6742,4319,3261,5502,4720,4554,8078,1081,859,165,2224,1013,889,1193,729,6,5,655,786,1591,424,852,611,1641,963,1498,896,687,70,1130,1336,1552,1223,1108,1942,1110,567,1039,983,1546,819,94,837,948,418,950,996,38475,37427,6931,5217,2658,6333,6380,5900,666,4294,1874,4539,3201,8617,2182,2068,2696,2371,2909,2971,3085
Metabolism of Aromatic Compounds,22384,18440,13102,24284,34579,17509,17319,14595,10415,37228,31514,22045,37586,24862,21961,10084,9166,3063,2835,8171,7756,12865,12537,10752,10596,13232,12681,6532,6970,4436,4086,8172,2756,2242,3386,1663,3296,2576,5024,7915,5319,4874,9180,974,804,192,2203,903,909,1058,825,6,8,609,729,1374,414,714,722,1676,890,1350,898,629,56,1043,1108,1243,1071,1070,1902,1058,552,876,1488,1541,697,59,886,904,391,892,871,52920,51211,6464,4797,2477,5911,6587,5678,564,3850,1550,4791,3020,8202,2088,2104,2535,2365,2334,2340,2386
Membrane Transport,67269,67197,46217,84383,122211,69049,54663,52128,43141,107640,121049,92512,128650,101893,98060,32562,29306,9951,9333,28180,26703,42468,41015,36689,35762,44750,43120,20999,22573,18493,19725,35168,21291,16493,25057,15826,27537,17542,14532,22233,17562,17515,26006,3106,2454,586,6444,2892,2715,3193,2323,14,14,2049,2364,4748,1322,2527,2050,5048,2798,4590,2882,2172,185,3446,3597,4218,3476,3391,5825,3462,1707,3024,3841,4800,2450,241,2559,2888,1232,2846,2687,155200,150023,27393,21884,10963,23839,24738,22235,2681,16991,7174,16911,12925,34689,8445,8432,9064,8243,12528,12462,12888
Protein Metabolism,102160,92585,65343,121692,167446,93990,83814,71513,60007,153850,160649,126767,193890,147524,139875,41405,38558,13281,12772,36145,34565,55168,53739,53510,51991,66748,64892,45651,47640,47253,49305,90008,64918,59665,84587,54952,97731,61155,26547,43917,38971,33823,59058,6813,5344,1302,15045,6488,5949,6863,5434,35,25,4615,5262,10136,2783,5340,4455,10595,6076,9919,6030,4477,402,7799,8436,9619,7588,7510,12810,7597,3750,6656,7727,9793,5393,477,5649,6399,2785,6318,5886,213316,208206,43387,34463,17716,38314,45283,50428,5711,35764,15097,28238,20059,59068,13214,14030,15412,13770,19190,19600,19722
Nucleosides and Nucleotides,42776,38585,27289,51552,71433,39301,34270,30199,24754,66420,66195,52181,81013,60828,57506,17404,16084,5364,5035,15333,14694,23210,22754,21509,20999,27072,26135,15450,17439,16126,16925,30188,21808,19107,27206,17698,30064,19650,10112,16853,13894,11603,20769,2653,2141,471,5951,2465,2363,2816,2046,14,15,1738,1908,3731,1094,1995,1784,4060,2339,3778,2305,1728,165,2932,3285,3595,2852,2783,4801,2812,1398,2625,3043,3818,1954,168,2135,2457,1056,2411,2252,88846,86405,17067,13620,6980,15568,17235,17984,2092,12761,5441,11617,7976,22511,5205,5435,6005,5491,7300,7270,7217
