,G1-Ah,G1-Bw,G1-Cox,G11-Ah,G11-Bw,G11-Cox,G2-Ah,G2-Bw,G2-Cox,G3a-Ah,G3a-Bw,G3a-Cox,G9-Ah,G9-Bw,G9-Cox,Ah-1-1,Ah-1-2,Ah-2-1,Ah-2-2,II-P-1-1,II-P-1-2,II-P-2-1,II-P-2-2,Of-1-1,Of-1-2,Of-2-1,Of-2-2,arctic_tundra_TL1,boreal_forest_BZ1,hot_desert_MD3,hot_desert_SF2,hot_desert_SV1,polar_desert_EB017,polar_desert_EB019,polar_desert_EB020,polar_desert_EB021,polar_desert_EB024,polar_desert_EB026,temeprate_coniferous_forest_DF1,temeprate_deciduous_forest_CL1,temeprate_grassland_KP1,tropical_forest_AR3,tropical_forest_PE6,2012_10_Soy_No,2012_11_Corn_Yes,2012_12_Soy_Yes,2012_13_Corn_Yes,2012_14_Soy_Yes,2012_15_Corn_Yes,2012_16_soy_Yes,2012_17_Corn_Yes,2012_18_soy_Yes,2012_19_Corn_Yes,2012_1_corn_No,2012_20_Soy_Yes,2012_2_Soy_No,2012_3_corn_No,2012_4_Soy_No,2012_5_Corn_No,2012_6_Soy_No,2012_7_corn_No,2012_8_Soy_No,2012_9_Corn_No,2013_11_Soy_Yes,2013_12_Corn_Yes,2013_13_Corn_Yes,2013_14_Corn_Yes,2013_15_Soy_Yes,2013_16_Corn_Yes,2013_17_Soy_Yes,2013_18_Corn_Yes,2013_19_Soy_Yes,2013_1_Soy_No,2013_20_Corn_Yes,2013_23_forest,2013_24_forest,2013_2_Corn_No,2013_3_Soy_No,2013_5_Soy_No,2013_6_Corn_No,2013_7_Soy_No,2013_8_Corn_No,2013_9_Soy_No,ERR1104480.fastq.gzaligned,ERR1104481.fastq.gzaligned,ERR476938_1.fastq.gzaligned,ERR476939_1.fastq.gzaligned,ERR476940_1.fastq.gzaligned,ERR476941_1.fastq.gzaligned,ERR476942_1.fastq.gzaligned,ERR476943_1.fastq.gzaligned,ERR476944_1.fastq.gzaligned,ERR476945_1.fastq.gzaligned,ERR476946_1.fastq.gzaligned,ERR481108_1.fastq.gzaligned,ERR481109_1.fastq.gzaligned,ERR481110_1.fastq.gzaligned,ERR481111_1.fastq.gzaligned,ERR481112_1.fastq.gzaligned,ERR515173_1.fastq.gzaligned,ERR515174_1.fastq.gzaligned,ERR515176_1.fastq.gzaligned,ERR515177_1.fastq.gzaligned,ERR515178_1.fastq.gzaligned
Archaeal lipids,325,374,282,486,718,386,319,285,279,479,646,610,853,676,536,102,77,26,22,89,81,120,132,173,176,231,228,79,98,260,248,420,176,417,232,166,255,383,55,89,107,104,138,23,14,1,35,15,26,22,19,0,0,17,21,32,13,7,16,24,12,24,9,12,0,30,19,24,22,25,34,32,5,16,21,17,16,0,7,19,5,15,17,976,925,327,270,139,315,480,941,98,637,309,177,162,438,81,69,113,120,140,157,178
Isoprenoinds for Quinones,172,113,72,176,214,105,172,105,55,310,193,121,368,177,105,72,51,14,14,27,31,65,73,78,77,89,85,70,78,48,57,106,26,62,65,31,86,89,65,76,50,36,95,9,5,1,38,16,17,15,5,0,0,8,18,12,1,3,13,28,8,12,6,4,0,12,11,11,12,8,18,11,9,10,21,14,4,1,13,11,6,10,8,375,352,71,44,27,71,81,50,9,35,7,62,15,81,18,26,34,26,13,17,11
Mycobacterial HadABC proteins ((3R)-hydroxyacyl-ACP dehydrates of FASII),13,8,3,4,18,12,2,7,5,15,1,5,8,15,3,4,4,1,1,5,5,4,2,7,6,7,3,4,6,1,2,8,0,0,0,0,0,0,13,16,4,1,1,2,1,1,7,4,1,2,1,0,0,0,1,1,1,3,3,2,3,2,5,0,0,2,2,1,0,1,2,0,2,3,3,3,0,0,1,1,1,3,3,116,118,3,2,2,5,4,0,1,1,2,0,1,5,2,0,1,0,0,0,0
(GlcNAc)2 Catabolic Operon,30,18,19,39,74,42,35,25,21,66,46,30,82,43,44,26,21,6,7,12,11,22,16,15,16,24,25,13,2,3,6,4,1,12,2,2,3,2,7,6,8,8,25,1,2,0,3,1,5,2,0,0,0,0,1,1,4,0,2,2,2,0,2,0,0,0,4,2,4,0,0,0,2,1,0,2,1,0,0,0,1,0,2,84,76,8,10,7,5,4,20,2,12,5,10,10,38,7,9,10,11,29,33,30
Glyoxylate bypass,365,304,161,345,585,276,250,227,149,577,382,291,494,321,278,200,178,57,49,106,103,159,153,278,279,361,354,169,205,172,139,373,29,46,82,35,116,175,138,261,155,122,137,23,20,3,61,14,25,25,25,1,0,9,12,44,12,13,7,51,24,27,21,21,3,34,33,29,25,29,51,27,14,33,37,35,26,6,16,28,10,23,24,978,970,166,133,59,161,162,136,13,93,44,45,34,93,37,28,17,16,18,17,18
Branched-Chain Amino Acid Biosynthesis,14600,13643,9787,18638,26222,14070,11809,10804,8980,23614,23825,18966,27112,20202,19198,5592,5208,1706,1614,4792,4535,7362,7134,7504,7312,9458,9216,6679,6465,6443,6541,11748,5065,8177,9432,6629,11876,6350,4037,6655,5207,4682,8874,1107,933,216,2427,1075,957,1204,829,7,2,754,865,1727,465,882,711,1767,1006,1717,1011,726,67,1215,1317,1480,1172,1136,2101,1253,588,1068,1327,1626,811,52,891,1010,445,1017,1003,30623,29940,5899,4669,2426,5394,5962,7260,683,4129,1898,3907,2874,7945,1793,1922,2412,2170,2522,2533,2696
Glycolate_ glyoxylate interconversions,4161,3871,2764,5172,7232,4008,3306,2989,2526,6222,6643,5325,7270,5679,5158,1755,1584,495,462,1533,1425,2223,2119,1934,1899,2434,2313,1310,1330,1204,1238,2134,1018,609,1579,1131,1469,827,896,1517,1024,956,1756,194,167,48,409,195,205,213,149,1,1,125,173,293,98,129,130,334,166,287,200,117,10,218,201,247,179,224,370,217,125,202,262,339,179,10,162,168,79,202,186,8039,7790,1357,1149,583,1287,1400,1368,149,959,397,1134,775,2187,472,485,536,483,669,720,711
Hydrogenases,1653,934,649,1639,1874,867,1234,725,510,2736,1669,969,2594,1322,1051,1077,1016,323,327,1213,1167,1838,1746,819,789,1013,966,1667,789,808,751,972,2042,3664,3549,3070,3519,926,432,758,474,501,1391,153,107,34,300,119,155,134,110,0,0,81,124,146,50,93,97,227,118,191,115,99,4,100,156,224,152,132,210,131,55,140,150,216,58,9,116,139,51,120,104,4616,4510,794,642,332,770,1063,1771,139,807,342,1100,914,2474,508,471,834,735,1193,1252,1236
NiFe hydrogenase maturation,1412,653,463,1310,1455,459,1081,516,260,2123,1073,431,2271,1024,740,751,725,188,184,751,722,1080,1072,612,592,750,713,770,515,533,479,535,2095,1888,2897,2394,3697,929,292,520,333,348,664,82,67,10,153,83,107,99,81,2,0,44,86,107,31,60,74,175,78,120,62,66,8,73,78,127,90,80,124,75,45,79,95,145,40,4,62,81,39,75,55,3174,3036,720,575,290,761,1049,1335,92,652,248,842,543,1702,322,355,569,525,703,714,704
Methanofuran,2401,1897,1323,2806,3651,1923,1931,1525,1213,3725,3358,2585,4304,3075,2978,1272,1143,395,370,1051,994,1712,1642,1298,1250,1553,1497,1040,1082,868,1015,1862,1469,1192,1651,1028,1888,1080,623,1010,815,744,1346,168,140,37,381,187,158,169,140,0,1,119,149,250,70,139,116,254,149,272,156,124,8,186,206,222,162,187,347,177,88,170,206,255,142,9,155,163,67,149,136,6224,6117,1132,930,470,1183,1315,1310,148,942,416,811,546,1562,337,373,527,427,502,577,544
Ammonia assimilation,3278,2828,1921,3858,5266,2854,2458,2137,1631,4834,5201,3852,5775,4354,4349,1903,1808,573,534,1793,1695,2471,2370,2211,2188,2939,2872,1487,1367,819,905,1680,794,606,1291,696,1642,889,988,1609,1112,1038,1629,211,144,30,402,191,150,230,143,0,1,114,142,326,99,168,121,306,176,292,151,116,14,196,242,338,227,227,367,206,108,186,265,304,149,20,185,200,67,205,176,7560,7375,1185,1043,536,1168,1393,1891,138,964,419,897,720,1895,440,437,572,482,729,666,741
Methionine and cysteine metabolism in plants,5650,4953,3591,6942,9446,5243,4507,3963,3302,8449,8755,6890,10829,8163,7661,2272,2087,689,667,1978,1883,3041,2988,2731,2677,3521,3411,2706,2700,2803,3035,5237,3546,3225,4986,3274,5512,2709,1641,2717,2399,2193,3563,489,319,83,943,406,377,430,331,2,3,293,343,666,167,367,303,708,388,622,423,292,32,510,552,604,470,493,782,467,253,418,563,697,288,28,371,385,167,379,358,11424,11036,2169,1695,897,1849,2319,2790,293,1685,762,1473,976,2950,692,697,898,742,895,877,930
Benzoate degradation,1426,1145,723,1325,2214,1098,993,931,590,2155,1908,1207,2071,1392,1203,779,726,260,236,513,477,840,813,811,785,934,915,358,490,300,231,469,66,42,126,53,118,65,393,659,269,278,597,52,33,10,155,58,59,62,41,0,0,42,34,73,20,34,33,92,49,69,52,37,1,54,45,71,61,56,112,47,20,38,114,88,30,2,47,50,19,41,56,3834,3667,258,234,108,252,293,314,34,191,82,228,137,400,129,116,129,130,101,114,118
Central meta-cleavage pathway of aromatic compound degradation,1038,734,534,1046,1333,656,786,638,415,1841,1351,906,1647,947,784,467,438,130,111,347,322,577,538,519,528,595,572,307,280,142,173,364,44,21,80,24,51,83,205,341,232,231,615,58,42,15,113,44,46,44,61,0,1,38,37,78,18,36,32,82,43,70,52,36,1,60,59,67,71,75,87,52,14,45,68,87,37,3,45,62,19,59,64,3027,2963,350,231,115,299,467,386,27,227,71,321,162,471,127,111,165,170,103,116,112
Glycerol fermentation to 1_3-propanediol,728,619,471,836,1153,536,623,454,393,1122,1102,886,1403,989,910,292,266,73,81,235,226,413,400,329,323,418,383,193,205,335,261,498,185,557,311,302,486,316,137,231,135,108,339,27,34,5,88,33,30,43,40,0,0,23,39,48,16,21,15,68,35,42,27,17,2,39,38,42,24,25,67,39,22,27,42,53,17,1,21,32,15,24,20,1604,1543,303,238,128,275,325,411,50,270,119,227,145,426,100,113,166,136,103,125,135
Glycogen metabolism,11997,8654,6392,11353,15611,8138,8406,7076,5068,16904,14461,10164,18622,13075,11655,7346,6894,2180,2093,7483,7220,11876,11719,6299,6204,7994,7859,4716,4730,4444,4701,8109,4581,4994,6465,4476,8766,4102,3421,5602,5026,4315,7436,756,605,158,1562,704,679,804,553,1,4,459,547,1053,284,570,486,1218,639,1101,651,492,38,792,804,981,787,811,1338,785,405,692,1000,1172,522,37,628,691,308,646,605,24298,23756,3809,2862,1425,3526,4505,4900,464,2881,1258,2959,2280,5928,1416,1435,1810,1613,2092,2056,2135
Menaquinone biosynthesis from chorismate via 1_4-dihydroxy-2-naphthoate,1331,1145,823,1798,2122,1093,1189,834,745,2261,2085,1623,3151,2110,1914,538,482,147,136,428,363,618,568,706,681,857,814,434,382,528,561,865,549,448,507,296,796,915,289,395,315,295,454,74,54,12,170,55,86,82,51,0,0,56,50,99,41,46,38,103,56,103,65,62,6,97,100,111,63,81,152,94,41,70,69,108,59,4,76,75,40,70,75,3461,3319,742,562,296,700,762,791,111,649,263,386,261,817,169,197,207,179,217,223,256
ESAT-6 proteins secretion system in Firmicutes,58,34,16,58,40,14,45,24,22,62,35,31,159,53,31,6,5,2,1,4,4,8,13,12,13,15,15,3,3,2,7,7,2,7,5,2,35,1,8,3,6,3,4,1,2,0,5,1,1,3,0,0,0,1,1,0,1,1,0,0,0,2,0,0,0,0,0,1,0,3,4,1,0,0,2,2,0,0,1,0,0,2,2,103,100,15,5,10,7,15,11,2,9,2,6,4,11,4,2,3,1,4,2,4
Ribosome biogenesis bacterial,4098,3778,2499,4844,6854,3450,3309,2901,2350,6036,6497,5084,7551,6126,5512,1881,1755,555,527,1585,1460,2379,2305,2463,2423,3104,2944,1400,1342,1054,1086,2128,1504,1767,1841,1309,2152,2294,807,1285,1104,835,1366,184,171,44,458,200,172,219,181,0,0,171,129,347,81,153,116,283,172,274,188,161,13,228,254,323,231,216,372,235,123,199,244,282,170,15,166,192,90,168,167,9516,9291,1679,1558,795,1533,1885,1994,223,1274,518,1127,864,2425,509,552,599,541,812,855,849
CDP-diacylglycerol biosynthesis in plants,1961,1593,1140,2274,3170,1549,1449,1210,1035,2787,2858,2130,3814,2743,2629,917,823,232,234,799,721,1186,1165,1237,1158,1481,1433,412,420,507,469,1082,510,905,763,540,1026,886,304,458,483,322,503,67,71,18,239,100,87,105,85,0,1,53,71,136,30,74,43,110,73,115,91,68,6,117,102,120,103,96,155,90,57,96,82,102,81,5,60,82,43,82,65,4916,4766,947,735,376,828,942,832,100,568,248,594,351,991,229,215,303,262,293,290,295
Isoprenoid Biosynthesis,4490,3868,2537,4881,6529,3608,3384,3014,2436,6122,6484,5327,8190,6244,6102,1634,1489,518,526,1531,1459,2348,2290,2122,2041,2496,2448,1749,1832,1670,1805,3359,2229,2190,3602,2320,4081,1961,1054,1739,1539,1337,2202,260,190,43,604,263,228,297,227,0,0,170,204,347,126,206,160,401,207,355,208,188,10,283,308,336,289,283,501,298,136,273,310,388,181,18,199,264,113,242,225,8158,7927,1539,1136,568,1414,1597,1690,176,1074,513,1127,753,2254,510,494,621,531,710,696,652
CLO thiaminPP biosynthesis,9743,8894,6011,11454,15607,8800,7827,7111,5516,14153,14953,11738,17533,13643,13008,4178,3955,1232,1176,3562,3361,5373,5245,5112,5010,6173,6026,3646,4108,3070,3422,6125,4755,6905,6115,4277,7470,4569,2639,4018,3295,2956,4631,520,478,110,1193,528,495,608,435,6,5,365,438,840,239,400,371,898,478,817,496,416,25,654,655,747,600,663,1101,631,300,529,740,828,470,31,470,548,210,492,455,21499,20778,3249,2673,1403,3166,3737,3922,407,2600,1145,2234,1678,4615,1032,1020,1342,1217,1520,1514,1505
N-heterocyclic aromatic compound degradation,1019,971,675,1239,1854,886,772,743,528,1785,1839,1283,1640,1161,1058,698,652,198,213,506,500,854,824,612,613,820,816,528,597,143,249,334,159,86,92,37,95,126,515,793,460,453,1070,64,36,11,90,43,33,54,39,0,0,40,39,120,26,53,33,105,52,92,52,42,5,56,81,86,55,69,110,51,41,59,132,124,51,5,58,56,31,65,53,2226,2220,205,148,79,151,183,254,22,127,46,175,164,349,93,78,105,95,153,116,133
Fructose utilization,2615,2313,1537,2684,4099,2065,1877,1744,1387,3330,3438,2698,4494,3176,3021,1049,862,259,261,913,854,1285,1223,980,952,1270,1191,404,428,455,444,822,314,390,533,329,572,454,311,514,460,287,493,82,58,21,191,71,91,102,64,0,0,60,61,134,41,42,58,138,70,100,75,52,7,103,83,105,81,91,178,95,36,87,87,115,61,9,60,70,37,73,82,5240,4961,932,781,408,880,776,859,95,667,277,557,385,1120,243,276,346,320,348,355,365
Proline_ 4-hydroxyproline uptake and utilization,2951,2482,1635,3142,4242,2135,2150,1848,1330,4656,3852,2916,5005,3353,3123,1220,1056,362,351,993,955,1479,1438,1449,1399,1818,1735,750,797,771,740,1417,937,371,770,336,823,991,506,935,748,630,1401,133,125,31,331,137,123,154,106,1,1,98,105,190,59,117,78,205,133,182,136,104,8,168,192,204,148,155,262,150,74,156,153,177,98,12,108,140,62,145,126,5948,5771,1120,830,431,956,1376,1489,146,875,368,762,411,1194,254,345,383,326,304,314,306
Lysine Biosynthesis DAP Pathway,2893,2450,1747,3359,4664,2349,2198,1839,1595,4273,4239,3279,5081,3775,3551,1050,964,305,285,820,773,1376,1336,1303,1276,1648,1580,937,1074,952,1001,1830,1767,1121,1598,867,1768,1181,624,1062,903,796,1594,140,143,44,405,174,159,196,152,2,0,159,135,290,62,135,130,289,164,250,155,90,11,176,235,223,234,206,342,201,125,181,198,257,141,11,152,185,63,155,147,6108,5982,1055,797,396,862,973,1065,139,677,330,624,429,1190,290,297,320,244,360,382,407
Entner-Doudoroff Pathway,19382,16516,11600,22860,31170,16528,15092,12771,10019,30223,27468,20355,34842,24202,21990,8547,7834,2653,2544,7069,6717,10958,10723,9355,9156,11626,11331,6633,6968,6002,6157,10813,7028,5396,8773,5555,9460,6028,4527,7778,5961,4694,9778,1105,895,216,2365,1029,1048,1149,863,2,4,687,825,1423,510,829,747,1748,1030,1539,977,733,68,1136,1245,1395,1095,1135,1916,1175,542,997,1417,1529,758,64,873,964,436,938,941,38713,37587,6472,4836,2488,5962,6585,7115,773,5012,2156,4493,2974,8630,1934,2090,2322,2059,2273,2274,2391
